Port,Device_Raw,Top
1,1 SUBNET,557.8608585000002
10,LARGE TR MXA920 #4 PHX - RELAY 8 10,655.0608585000002
11,11 PHX - IR/S 1,665.8608585000002
12,12 PHX - IR/S 2,676.6608585000001
13,13 PHX - IR/S 3,687.4608585000001
14,14 PHX - IR/S 4,698.2608585
15,15 PHX - IR/S 5,709.0608585000002
16,NVX-E20-2G / SMALL TR WALL PLATE / E.01 16 PHX - IR/S 6,719.8608585000002
17,NVX-E20-2G / LARGE TR WALL PLATE / E.02 17 PHX - IR/S 7,730.6608585000001
18,NVX-E30 / SMALL TR ROOMKIT PRO OUT/ E.03 18 PHX - IR/S 8,741.4608585000001
19,NVX-E30 / SMALL TR AM-3200 / E.04 19 PHX - COM 1 POWERED LOCALLY,752.2608585
2,SMALL TR FORTE X 800 CRESTRON GLS-PART-CN 2 SD CARD - SLOT PHX - CRESNET,568.6608585000001
20,NVX-E30 / LARGE TR ROOMKIT PRO / E.05 20 PHX - COM 2,763.0608585000002
21,NVX-E30 / LARGE TR AM-3200 / E.06 21 PWR - DC PLUG PHX - COM 3,773.8608585000002
22,NVX-D30 / SMALL TR ROOMKIT PRO IN / D.01 22,784.6608585000001
23,NVX-D30 / LARGE TR ROOMKIT PRO IN / D.02 23,795.4608585000001
24,SHURE MXW1X/O - WL183MB/O NVX-D30 / SMALL TR VW CONTROLLER / D.03 24,806.2608585
25,NVX-D30 / LARGE TR VW CONTROLLER / D.04 25,817.0608585000002
26,NVX-D30 / LARGE TR VW CONTROLLER / D.05 26,827.8608585000002
27,27,838.6608585000001
28,28,849.4608585000001
29,29,860.2608585
3,LARGE TRFORTE X 800 PHX - RELAY 1 3 USB - USB A (2.0),579.4608585000001
30,30,871.0608585000002
31,31,881.8608585000002
32,HOSPITALITY TSW-1070 32,892.6608585000001
33,TESIRA DAN AI 33,903.4608585
34,TESIRA DAN AI 34,914.2608585
35,HOSPITALITY MXWAPXD2 35,925.0608585000002
36,NVX-E30 / HOSPITALITY AM-3200 / E.07 36,935.8608585000002
37,NVX-E30 / HOSPITALITY MEDIA PLAYER / E.08 37,946.6608585
38,NVX-D30 / HOSPITALITY VW CONTROLLER / D.06 38,957.4608585
39,39,968.2608585
4,MXWNDX4 PHX - RELAY 2 4 I/O 1-8 - PHX,590.2608585
40,40,979.0608585000002
41,41 1),989.8608585000002
42,42 2),1000.6608585
43,43 3),1011.4608585
44,44 4),1022.2608585
45,45 5),1033.0608585000002
450W,REQUIRES 450W,445.7902179000002
46,46 6),1043.8608585000002
47,47 7),1054.6608585
48,48 8),1065.4608585
5,PHX - RELAY 3 5,601.0608585000002
6,LARGE TR MXWAPX4 PHX - RELAY 4 6,611.8608585000002
7,SMALL TR MXA920 #1 PHX - RELAY 5 7,622.6608585000001
8,LARGE TR MXA920 #2 PHX - RELAY 6 8,633.4608585000001
9,LARGE TR MXA920 #3 PHX - RELAY 7 9,644.2608585
