Port,Device_Raw,Top,Switch_Port_1,Switch_Port_2,mac,port,ip
1,1 SUBNET,557.8608585000002,1,0/1,C4:42:68:85:A4:3C,0/1,172.22.0.2
1,1 SUBNET,557.8608585000002,1,0/1,C4:42:68:85:A4:3F,0/1,
10,LARGE TR MXA920 #4 PHX - RELAY 8 10,655.0608585000002,10,0/10,00:0E:DD:66:51:EE,0/10,
10,LARGE TR MXA920 #4 PHX - RELAY 8 10,655.0608585000002,10,0/10,00:0E:DD:66:51:EF,0/10,
11,11 PHX - IR/S 1,665.8608585000002,11,0/11,,,
12,12 PHX - IR/S 2,676.6608585000001,12,0/12,,,
13,13 PHX - IR/S 3,687.4608585000001,13,0/13,,,
14,14 PHX - IR/S 4,698.2608585,14,0/14,,,
15,15 PHX - IR/S 5,709.0608585000002,15,0/15,,,
16,NVX-E20-2G / SMALL TR WALL PLATE / E.01 16 PHX - IR/S 6,719.8608585000002,16,0/16,,,
17,NVX-E20-2G / LARGE TR WALL PLATE / E.02 17 PHX - IR/S 7,730.6608585000001,17,0/17,38:AA:09:A2:75:CB,0/17,
18,NVX-E30 / SMALL TR ROOMKIT PRO OUT/ E.03 18 PHX - IR/S 8,741.4608585000001,18,0/18,,,
19,NVX-E30 / SMALL TR AM-3200 / E.04 19 PHX - COM 1 POWERED LOCALLY,752.2608585,19,0/19,C4:42:68:85:2A:B3,0/19,
2,SMALL TR FORTE X 800 CRESTRON GLS-PART-CN 2 SD CARD - SLOT PHX - CRESNET,568.6608585000001,2,0/2,78:45:01:47:A1:FB,0/2,
2,SMALL TR FORTE X 800 CRESTRON GLS-PART-CN 2 SD CARD - SLOT PHX - CRESNET,568.6608585000001,2,0/2,78:45:01:47:A2:01,0/2,
20,NVX-E30 / LARGE TR ROOMKIT PRO / E.05 20 PHX - COM 2,763.0608585000002,20,0/20,,,
21,NVX-E30 / LARGE TR AM-3200 / E.06 21 PWR - DC PLUG PHX - COM 3,773.8608585000002,21,0/21,C4:42:68:85:28:2F,0/21,
22,NVX-D30 / SMALL TR ROOMKIT PRO IN / D.01 22,784.6608585000001,22,0/22,C4:42:68:85:C1:5F,0/22,
23,NVX-D30 / LARGE TR ROOMKIT PRO IN / D.02 23,795.4608585000001,23,0/23,C4:42:68:85:C1:68,0/23,
24,SHURE MXW1X/O - WL183MB/O NVX-D30 / SMALL TR VW CONTROLLER / D.03 24,806.2608585,24,0/24,,,
25,NVX-D30 / LARGE TR VW CONTROLLER / D.04 25,817.0608585000002,25,0/25,C4:42:68:85:C1:33,0/25,
26,NVX-D30 / LARGE TR VW CONTROLLER / D.05 26,827.8608585000002,26,0/26,C4:42:68:83:9F:DF,0/26,
27,27,838.6608585000001,27,0/27,C4:42:68:85:A1:EE,0/27,
28,28,849.4608585000001,28,0/28,C4:42:68:85:A1:59,0/28,
29,29,860.2608585,29,0/29,C4:42:68:83:9F:6F,0/29,
3,LARGE TRFORTE X 800 PHX - RELAY 1 3 USB - USB A (2.0),579.4608585000001,3,0/3,78:45:01:47:A2:3C,0/3,
30,30,871.0608585000002,30,0/30,C4:42:68:85:A5:8D,0/30,
31,31,881.8608585000002,31,0/31,,,
32,HOSPITALITY TSW-1070 32,892.6608585000001,32,0/32,,,
33,TESIRA DAN AI 33,903.4608585,33,0/33,78:45:01:47:4B:C6,0/33,
34,TESIRA DAN AI 34,914.2608585,34,0/34,78:45:01:47:4B:C7,0/34,
34,TESIRA DAN AI 34,914.2608585,34,0/34,78:45:01:47:4B:C9,0/34,
35,HOSPITALITY MXWAPXD2 35,925.0608585000002,35,0/35,,,
36,NVX-E30 / HOSPITALITY AM-3200 / E.07 36,935.8608585000002,36,0/36,C4:42:68:85:C1:6B,0/36,
37,NVX-E30 / HOSPITALITY MEDIA PLAYER / E.08 37,946.6608585,37,0/37,C4:42:68:85:C1:73,0/37,
38,NVX-D30 / HOSPITALITY VW CONTROLLER / D.06 38,957.4608585,38,0/38,C4:42:68:85:A2:64,0/38,
39,39,968.2608585,39,0/39,,,
4,MXWNDX4 PHX - RELAY 2 4 I/O 1-8 - PHX,590.2608585,4,0/4,,,
40,40,979.0608585000002,40,0/40,,,
41,41 1),989.8608585000002,41,0/41,,,
42,42 2),1000.6608585,42,0/42,,,
43,43 3),1011.4608585,43,0/43,,,
44,44 4),1022.2608585,44,0/44,,,
45,45 5),1033.0608585000002,45,0/45,,,
450W,REQUIRES 450W,445.7902179000002,450W,450W,,,
46,46 6),1043.8608585000002,46,0/46,,,
47,47 7),1054.6608585,47,0/47,,,
48,48 8),1065.4608585,48,0/48,,,
5,PHX - RELAY 3 5,601.0608585000002,5,0/5,94:83:C4:68:40:1F,0/5,172.22.0.222
