mac,port,ip
00:0E:DD:66:51:E8,0/9,
00:0E:DD:66:51:E9,0/9,
00:0E:DD:66:51:EE,0/10,
00:0E:DD:66:51:EF,0/10,
00:0E:DD:66:53:BA,0/8,
00:0E:DD:66:53:BB,0/8,
00:0E:DD:66:53:CE,0/7,
00:0E:DD:66:53:CF,0/7,
00:0E:DD:AC:28:86,0/6,
00:0E:DD:AC:28:87,0/6,
28:94:01:7F:D6:34,5/1,
28:94:01:7F:D6:37,1,172.22.0.10
38:AA:09:A2:75:CB,0/17,
78:45:01:47:4B:C6,0/33,
78:45:01:47:4B:C7,0/34,
78:45:01:47:4B:C9,0/34,
78:45:01:47:A1:FB,0/2,
78:45:01:47:A2:01,0/2,
78:45:01:47:A2:3C,0/3,
94:83:C4:68:40:1F,0/5,172.22.0.222
C4:42:68:83:9F:6F,0/29,
C4:42:68:83:9F:DF,0/26,
C4:42:68:85:28:2F,0/21,
C4:42:68:85:2A:B3,0/19,
C4:42:68:85:A1:59,0/28,
C4:42:68:85:A1:EE,0/27,
C4:42:68:85:A2:64,0/38,
C4:42:68:85:A4:3C,0/1,172.22.0.2
C4:42:68:85:A4:3F,0/1,
C4:42:68:85:A5:8D,0/30,
C4:42:68:85:C1:33,0/25,
C4:42:68:85:C1:5F,0/22,
C4:42:68:85:C1:68,0/23,
C4:42:68:85:C1:6B,0/36,
C4:42:68:85:C1:73,0/37,
E6:F2:2D:6F:F9:BD,0/5,172.22.222.220
